     0   0.929389 -0.00105648 0.92833292
     0    1.28705   0.929389 -0.00105648 0.92833292
  0.01    1.28709   0.929398 -0.00105655 0.92834183
  0.02    1.28715   0.929416 -0.00105674 0.92835913
  0.03     1.2872   0.929433 -0.00105707 0.92837623
  0.04    1.28726   0.929451 -0.00105753 0.92839312
  0.05    1.28731   0.929468 -0.00105812 0.92840983
  0.06    1.28737   0.929485 -0.00105884 0.92842634
  0.07    1.28742   0.929502 -0.0010597 0.92844268
  0.08    1.28748    0.92952 -0.00106069 0.92845885
  0.09    1.28754   0.929537 -0.00106182 0.92847485
   0.1    1.28759   0.929554 -0.00106309 0.92849069
  0.11    1.28765   0.929571 -0.00106449 0.92850638
  0.12    1.28771   0.929588 -0.00106603 0.92852192
  0.13    1.28777   0.929605 -0.00106771 0.92853732
  0.14    1.28783   0.929622 -0.00106954 0.92855258
  0.15    1.28788   0.929639 -0.0010715 0.92856772
  0.16    1.28794   0.929656 -0.00107361 0.92858273
  0.17      1.288   0.929673 -0.00107587 0.92859762
  0.18    1.28806   0.929691 -0.00107827  0.9286124
  0.19    1.28812   0.929708 -0.00108083 0.92862707
   0.2    1.28819   0.929725 -0.00108353 0.92864164
  0.21    1.28825   0.929742 -0.00108639 0.92865611
  0.22    1.28831    0.92976 -0.0010894 0.92867049
  0.23    1.28837   0.929777 -0.00109257 0.92868479
  0.24    1.28843   0.929795 -0.00109591 0.92869901
  0.25     1.2885   0.929813 -0.0010994 0.92871315
  0.26    1.28856    0.92983 -0.00110306 0.92872723
  0.27    1.28863   0.929848 -0.00110688 0.92874124
  0.28    1.28869   0.929866 -0.00111088  0.9287552
  0.29    1.28876   0.929884 -0.00111505  0.9287691
   0.3    1.28882   0.929902 -0.00111939 0.92878296
  0.31    1.28889   0.929921 -0.00112391 0.92879678
  0.32    1.28895   0.929939 -0.00112862 0.92881057
  0.33    1.28902   0.929958 -0.0011335 0.92882432
  0.34    1.28909   0.929977 -0.00113858 0.92883805
  0.35    1.28916   0.929996 -0.00114385 0.92885177
  0.36    1.28923   0.930015 -0.00114931 0.92886547
  0.37     1.2893   0.930034 -0.00115498 0.92887917
  0.38    1.28937   0.930054 -0.00116084 0.92889286
  0.39    1.28944   0.930073 -0.00116691 0.92890657
   0.4    1.28951   0.930093 -0.0011732 0.92892029
  0.41    1.28958   0.930114 -0.0011797 0.92893402
  0.42    1.28966   0.930134 -0.00118641 0.92894778
  0.43    1.28973   0.930155 -0.00119335 0.92896158
  0.44    1.28981   0.930176 -0.00120052 0.92897541
  0.45    1.28988   0.930197 -0.00120793 0.92898929
  0.46    1.28996   0.930219 -0.00121557 0.92900322
  0.47    1.29003   0.930241 -0.00122345 0.92901721
  0.48    1.29011   0.930263 -0.00123158 0.92903126
  0.49    1.29019   0.930285 -0.00123997 0.92904539
   0.5    1.29027   0.930308 -0.00124861 0.92905959
  0.51    1.29035   0.930331 -0.00125752 0.92907388
  0.52    1.29043   0.930355 -0.0012667 0.92908827
  0.53    1.29051   0.930379 -0.00127615 0.92910276
  0.54    1.29059   0.930403 -0.00128589 0.92911735
  0.55    1.29068   0.930428 -0.00129591 0.92913206
  0.56    1.29076   0.930453 -0.00130623  0.9291469
  0.57    1.29084   0.930479 -0.00131685 0.92916186
  0.58    1.29093   0.930505 -0.00132779 0.92917697
  0.59    1.29102   0.930531 -0.00133903 0.92919222
   0.6     1.2911   0.930558 -0.0013506 0.92920762
  0.61    1.29119   0.930586 -0.0013625 0.92922319
  0.62    1.29128   0.930614 -0.00137473 0.92923893
  0.63    1.29137   0.930642 -0.00138731 0.92925484
  0.64    1.29146   0.930671 -0.00140025 0.92927093
  0.65    1.29156   0.930701 -0.00141354 0.92928722
  0.66    1.29165   0.930731 -0.00142721 0.92930371
  0.67    1.29175   0.930762 -0.00144126 0.92932041
  0.68    1.29184   0.930793 -0.00145569 0.92933732
  0.69    1.29194   0.930825 -0.00147053 0.92935445
   0.7    1.29204   0.930858 -0.00148577  0.9293718
  0.71    1.29214   0.930891 -0.00150143  0.9293894
  0.72    1.29224   0.930925 -0.00151752 0.92940724
  0.73    1.29234   0.930959 -0.00153405 0.92942532
  0.74    1.29244   0.930995 -0.00155103 0.92944366
  0.75    1.29255   0.931031 -0.00156848 0.92946226
  0.76    1.29265   0.931068 -0.0015864 0.92948113
  0.77    1.29276   0.931105 -0.00160481 0.92950026
  0.78    1.29287   0.931143 -0.00162373 0.92951968
  0.79    1.29298   0.931183 -0.00164317 0.92953938
   0.8    1.29309   0.931223 -0.00166314 0.92955936
  0.81    1.29321   0.931263 -0.00168367 0.92957964
  0.82    1.29332   0.931305 -0.00170476 0.92960021
  0.83    1.29344   0.931348 -0.00172644 0.92962107
  0.84    1.29355   0.931391 -0.00174872 0.92964224
  0.85    1.29367   0.931435 -0.00177163 0.92966371
  0.86     1.2938   0.931481 -0.00179518 0.92968549
  0.87    1.29392   0.931527 -0.00181941 0.92970758
  0.88    1.29404   0.931574 -0.00184433 0.92972997
  0.89    1.29417   0.931623 -0.00186997 0.92975267
   0.9     1.2943   0.931672 -0.00189635 0.92977569
  0.91    1.29443   0.931723 -0.00192352 0.92979901
  0.92    1.29457   0.931774 -0.00195149 0.92982265
  0.93     1.2947   0.931827 -0.0019803  0.9298466
  0.94    1.29484   0.931881 -0.00200999 0.92987085
  0.95    1.29498   0.931936 -0.00204059 0.92989542
  0.96    1.29512   0.931992 -0.00207214 0.92992029
  0.97    1.29527    0.93205 -0.00210469 0.92994546
  0.98    1.29542   0.932109 -0.00213829 0.92997095
  0.99    1.29557    0.93217 -0.00217298 0.92999673
     1    1.29572   0.932232 -0.00220881 0.93002281
  1.01    1.29588   0.932295 -0.00224584 0.93004919
  1.02    1.29603    0.93236 -0.00228413 0.93007587
  1.03     1.2962   0.932427 -0.00232375 0.93010283
  1.04    1.29636   0.932495 -0.00236476  0.9301301
  1.05    1.29653   0.932565 -0.00240724 0.93015764
  1.06     1.2967   0.932637 -0.00245127 0.93018548
  1.07    1.29688   0.932711 -0.00249693 0.93021361
  1.08    1.29706   0.932786 -0.00254431 0.93024201
  1.09    1.29724   0.932864 -0.00259351  0.9302707
   1.1    1.29743   0.932944 -0.00264464 0.93029968
  1.11    1.29762   0.933027 -0.00269781 0.93032894
  1.12    1.29782   0.933112 -0.00275315 0.93035847
  1.13    1.29802   0.933199 -0.00281077 0.93038829
  1.14    1.29823   0.933289 -0.00287083  0.9304184
  1.15    1.29844   0.933382 -0.00293348 0.93044879
  1.16    1.29865   0.933478 -0.00299888 0.93047947
  1.17    1.29887   0.933578 -0.00306722 0.93051043
  1.18     1.2991    0.93368 -0.00313867 0.93054169
  1.19    1.29933   0.933787 -0.00321346 0.93057324
   1.2    1.29957   0.933897 -0.0032918 0.93060509
  1.21    1.29982   0.934011 -0.00337395 0.93063725
  1.22    1.30007    0.93413 -0.00346016 0.93066971
  1.23    1.30033   0.934253 -0.00355073 0.93070249
  1.24     1.3006   0.934382 -0.00364597 0.93073559
  1.25    1.30088   0.934515 -0.00374623 0.93076902
  1.26    1.30116   0.934655 -0.00385186 0.93080278
  1.27    1.30145     0.9348 -0.00396329 0.93083688
  1.28    1.30175   0.934952 -0.00408096 0.93087133
